iter	RMSE
202	10139027.76
203	10130859.77
204	10113197.33
205	10051177.84
206	10022512.39
207	10013364.05
208	10007055.68
209	9995511.792
210	9959032.07
211	9934080.355
212	9910081.271
213	9872611.534
214	9845077.761
215	9827861.965
216	9773132.315
217	9748795.969
218	9720733.572
219	9675902.535
220	9646421.742
221	9601346.593
222	9579415.825
223	9550121.955
224	9500339.186
225	9473039.334
226	9457375.804
227	9392385.962
228	9358684.793
229	9350350.967
230	9333954.881
231	9305696.433
232	9295708.108
233	9269849.369
234	9249510.461
235	9231286.201
236	9202879.154
237	9183833.072
238	9132587.151
239	9100067.697
240	9074905.944
241	9058738.435
242	9043899.219
243	9031071.625
244	9019508.614
245	8968401.992
246	8959796.556
247	8935506.781
248	8920998.858
249	8904995.053
250	8880024.227
251	8856014.613
252	8823335.033
253	8795508.36
254	8759531.366
255	8725665.174
256	8712432.054
257	8681023.241
258	8652790.127
259	8636908.699
260	8623592.151
261	8609621.381
262	8586709.149
263	8575689.318
264	8546073.119
265	8520080.023
266	8494980.062
267	8474199.711
268	8459641.087
269	8446965.28
270	8434459.613
271	8415893.755
272	8376412.652
273	8351464.52
274	8326674.302
275	8314077.006
276	8298567.923
277	8276249.284
278	8265763.11
279	8236990.99
280	8211322.684
281	8190898.992
282	8176006.423
283	8158521.975
284	8148488.146
285	8134892.173
286	8112195.564
287	8085274.45
288	8076412.603
289	8070231.6
290	8063190.106
291	8039489.889
292	8017456.172
293	7995566.273
294	7979845.735
295	7969344.11
296	7951352.259
297	7945265.412
298	7931662.294
299	7906657.364
300	7882146.346
301	7864457.45
302	7849594.19
303	7816543.81
304	7799671.6
305	7775058.939
306	7751714.904
307	7734879.386
308	7705332.459
309	7690509.401
310	7676225.308
311	7659548.991
312	7632147.051
313	7620979.303
314	7607300.181
315	7597117.308
316	7587994.344
317	7572892.041
318	7556980.463
319	7545921.315
320	7522283.42
321	7496011.961
322	7481517.747
323	7469321.697
324	7454607.319
325	7434749.852
326	7410873.548
327	7401885.53
328	7384432.729
329	7368624.619
330	7354812.734
331	7341147.423
332	7331527
333	7319822.017
334	7309386.866
335	7289249.214
336	7278468.863
337	7265020.226
338	7254719.201
339	7239341.125
340	7222829.32
341	7211270.352
342	7198899.37
343	7178426.022
344	7155136.225
345	7142980.406
346	7132143.528
347	7116195.372
348	7090926.747
349	7070440.032
350	7058471.852
351	7041608.671
352	7030514.914
353	7018738.642
354	7010021.621
355	7001705.855
356	6992495.633
357	6980351.655
358	6962579.396
359	6953854.996
360	6936828.703
361	6928311.87
362	6916160.788
363	6907270.595
364	6888948.982
365	6873128.359
366	6861727.523
367	6849236.082
368	6839691.276
369	6825676.077
370	6808444.202
371	6795325.706
372	6782226.176
373	6768374.609
374	6759529.167
375	6750710.214
376	6740533.598
377	6730038.938
378	6720545.7
379	6708461.265
380	6698415.356
381	6688631.189
382	6675507.187
383	6668218.399
384	6661625.09
385	6644254.91
386	6630051.673
387	6624003.574
388	6616673.9
389	6596362.905
390	6589615.636
391	6581942.619
392	6555472.538
393	6547275.236
394	6539606.985
395	6529837.495
396	6512325.952
397	6496149.128
398	6489915.374
399	6469083.661
400	6457181.117
401	6436237.517
402	6424645.027
403	6411106.633
404	6396824.864
405	6382372.461
406	6363326.369
407	6352694.888
408	6347253.387
409	6337661.741
410	6327940.903
411	6316864.41
412	6303037.152
413	6292517.852
414	6285318.287
415	6270676.245
416	6263262.181
417	6244176.991
418	6236996.933
419	6227496.834
420	6216686.683
421	6205691.212
422	6192177.594
423	6183997.57
424	6169984.036
425	6158304.96
426	6144542.43
427	6129657.689
428	6116783.641
429	6107249.15
430	6099920.872
431	6083842.353
432	6071519.744
433	6063164.271
434	6054881.049
435	6039133.37
436	6031422.743
437	6018261.673
438	6011322.799
439	5999960.441
440	5988660.123
441	5976372.914
442	5964924.791
443	5957621.428
444	5947207.656
445	5934447.779
446	5923048.531
447	5909887.707
448	5904385.764
449	5895261.654
450	5882210.062
451	5871313.312
452	5860868.281
453	5850669.246
454	5837231.892
455	5819876.321
456	5809686.645
457	5792653.792
458	5784906.339
459	5771160.186
460	5762640.008
461	5752418.921
462	5746304.893
463	5733882.113
464	5723761.45
465	5713717.145
466	5706004.381
467	5696946.201
468	5691820.242
469	5680041.2
470	5673375.476
471	5662900.321
472	5655391.923
473	5643731.634
474	5636730.02
475	5631644.984
476	5624849.587
477	5617570.285
478	5611061.021
479	5605488.853
480	5593900.51
481	5586056.135
482	5580338.326
483	5568289.937
484	5561503.037
485	5550228.07
486	5540932.028
487	5528256.067
488	5523021.224
489	5503573.573
490	5494864.329
491	5490242.078
492	5479242.272
493	5470893.657
494	5462785.443
495	5452773.187
496	5445056.638
497	5439249.731
498	5430808.279
499	5422867.95
500	5416282.893
501	5409230.256
502	5399201.939
503	5392652.422
504	5382432.489
505	5372684.858
506	5357679.774
507	5344067.539
508	5336016.588
509	5325358.768
510	5315235.047
511	5302735.351
512	5296563.734
513	5292679.425
514	5286061.924
515	5277465.283
516	5271691.953
517	5264555.068
518	5257910.062
519	5250798.488
520	5243517.114
521	5229612.214
522	5221843.211
523	5213384.46
524	5202695.034
525	5197759.131
526	5190937.413
527	5184863.482
528	5177767.216
529	5166363.678
530	5161321.861
531	5151966.479
532	5145632.835
533	5140857.702
534	5134795.475
535	5128345.004
536	5122269.941
537	5116231.755
538	5102341.982
539	5094470.535
540	5088850.799
541	5081071.647
542	5069613.021
543	5061270.007
544	5054790.237
545	5050139.967
546	5044469.911
547	5039675.475
548	5030855.003
549	5019497.303
550	5008063.702
551	4998453.14
552	4989823.258
553	4985295.411
554	4983032.869
555	4978010.771
556	4972590.852
557	4963916.79
558	4958851.951
559	4950060.843
560	4934181.198
561	4921046.293
562	4915772.105
563	4912813.709
564	4903594.648
565	4896020.986
566	4890431.582
567	4883990.018
568	4879525.336
569	4873799.352
570	4866843.385
571	4862604.418
572	4851102.039
573	4844808.282
574	4841515.631
575	4833979.327
576	4827221.863
577	4820182.635
578	4815521.807
579	4812128.371
580	4806946.224
581	4801735.799
582	4797934.349
583	4789616.668
584	4782213.52
585	4771906.115
586	4762859.023
587	4757905.755
588	4749521.383
589	4743819.475
590	4735938.499
591	4729697.532
592	4724217.373
593	4719167.194
594	4708023.619
595	4700118.485
596	4693836.514
597	4685287.473
598	4678684.71
599	4674996.23
600	4671984.456
601	4660412.543
602	4654090.526
603	4648150.691
604	4639220.545
605	4628654.511
606	4623087.092
607	4614706.593
608	4609073.325
609	4604612.215
610	4600880.633
611	4590748.648
612	4584034.334
613	4575421.555
614	4569085.776
615	4562858.141
616	4554361.303
617	4551904.972
618	4545855.779
619	4538797.769
620	4529812.967
621	4525791.947
622	4519895.631
623	4509876.475
624	4504797.554
625	4499845.674
626	4492275.684
627	4484154.154
628	4478866.781
629	4472218.374
630	4463208.083
631	4454885.842
632	4451004.463
633	4446007.374
634	4439016.367
635	4430277.327
636	4422603.477
637	4412676.985
638	4408273.805
639	4402995.832
640	4397529.639
641	4393064.001
642	4388458.194
643	4384023.225
644	4380623.765
645	4373644.379
646	4369681.911
647	4364722.249
648	4362339.173
649	4353684.925
650	4348058.458
651	4343439.96
652	4337745.652
653	4334091.152
654	4329572.24
655	4324997.496
656	4320422.805
657	4314500.214
658	4310155.712
659	4302806.264
660	4297556.208
661	4288414.822
662	4283845.328
663	4277326.451
664	4274119.925
665	4269012.808
666	4264165.746
667	4259741.438
668	4254634.348
669	4248217.865
670	4244325.623
671	4236545.709
672	4233193.089
673	4228663.922
674	4223652.766
675	4219332.184
676	4214274.325
677	4211366.683
678	4207330.314
679	4200766.744
680	4194981.347
681	4190958.91
682	4187980.475
683	4183835.265
684	4179895.825
685	4175811.091
686	4171669.635
687	4165199.32
688	4162810.981
689	4157981.445
690	4154972.673
691	4151200.417
692	4145780.128
693	4142755.68
694	4137068.14
695	4132094.224
696	4124564.011
697	4119411.884
698	4115592.191
699	4108932.402
700	4103010.999
701	4099251.519
702	4095257.631
703	4094360.142
704	4089559.506
705	4085697.919
706	4080498.459
707	4075849.056
708	4070880.059
709	4068415.192
710	4061071.53
711	4057514.912
712	4054155.475
713	4048610.198
714	4044953.359
715	4038215.011
716	4032221.154
717	4026768.931
718	4023162.128
719	4018048.341
720	4016373.096
721	4007520.106
722	4004759.617
723	3999674.338
724	3993108.586
725	3986495.615
726	3979720.453
727	3976792.886
728	3972468.43
729	3968479.9
730	3963246.323
731	3959443.193
732	3955149.673
733	3950806.721
734	3946451.841
735	3941600.287
736	3938870.008
737	3936148.381
738	3933002.739
739	3926079.819
740	3922416.594
741	3918676.034
742	3914965.202
743	3909387.613
744	3903221.429
745	3897574.871
746	3891560.941
747	3886014.294
748	3882776.063
749	3879907.236
750	3873031.197
751	3869803.779
752	3868578.669
753	3865478.325
754	3860717.691
755	3856296.112
756	3851372.479
757	3848281.988
758	3845327.354
759	3840724.703
760	3836971.836
761	3833878.505
762	3829279.39
763	3824844.347
764	3821433.035
765	3818331.686
766	3814168.213
767	3810730.876
768	3804735.35
769	3801703.88
770	3797956.358
771	3795602.303
772	3790137.667
773	3785784.839
774	3782897.278
775	3776329.124
776	3771936.829
777	3766548.913
778	3762040.587
779	3755698.644
780	3751218.937
781	3745962.004
782	3742579.716
783	3738121.826
784	3733492.629
785	3728493.78
786	3725235.778
787	3721825.271
788	3718727.92
789	3715388.938
790	3710346.335
791	3705023.015
792	3700138.361
793	3693471.861
794	3689074.33
795	3686543.792
796	3683148.28
797	3679571.051
798	3673998.541
799	3668203.806
800	3663651.3
801	3661298.988
802	3656044.17
803	3654399.622
804	3651652.728
805	3646429.736
806	3640471.069
807	3637416.117
808	3634463.596
809	3631546.7
810	3628113.173
811	3622236.73
812	3617168.04
813	3614400.72
814	3611485.924
815	3608547.969
816	3601262.839
817	3595019.576
818	3590603.825
819	3584637.43
820	3580697.932
821	3577980.716
822	3573224.782
823	3569291.55
824	3565986.445
825	3565231.831
826	3563242.018
827	3559348.606
828	3552230.439
829	3548255.837
830	3541642.165
831	3536779.388
832	3533508.394
833	3529008.749
834	3525565.084
835	3522629.281
836	3516051.081
837	3513139.372
838	3509490.544
839	3507175.143
840	3505182.062
841	3499115.53
842	3493823.798
843	3488741.618
844	3485537.542
845	3483303.73
846	3478400.53
847	3476134.052
848	3470174.281
849	3466599.893
850	3462827.472
851	3458703.214
852	3453909.026
853	3449046.24
854	3446357.265
855	3443025.286
856	3440447.963
857	3437072.613
858	3433346.435
859	3428152.571
860	3424156.225
861	3419788.923
862	3411763.946
863	3409546.211
864	3406553.113
865	3402224.426
866	3397787.433
867	3392062.203
868	3388626.188
869	3386446.148
870	3383708.304
871	3381896.871
872	3380086.969
873	3375756.099
874	3373265.087
875	3371392.695
876	3367662.539
877	3365089.01
878	3360705.097
879	3357364.147
880	3354852.489
881	3350603.546
882	3347044.811
883	3340144.122
884	3336163.659
885	3334688.325
886	3332711.145
887	3329801.522
888	3323600.422
889	3318836.223
890	3314800.7
891	3308550.17
892	3305524.904
893	3302798.035
894	3300845.436
895	3297504.049
896	3295381.843
897	3291135.773
898	3288892.36
899	3285665.106
900	3282783.261
901	3276513.568
902	3272019.75
903	3264952.485
904	3261640.811
905	3257667.776
906	3252948.701
907	3249826.905
908	3247696.297
909	3243993.806
910	3242517.442
911	3239433.592
912	3235544.322
913	3230583.92
914	3227939.784
915	3225444.913
916	3221499.372
917	3217464.596
918	3214364.272
919	3210666.249
920	3207765.704
921	3206671.491
922	3204751.706
923	3200903.199
924	3197880.06
925	3194875.879
926	3191784.323
927	3190343.269
928	3186946.133
929	3184882.589
930	3181108.017
931	3178500.355
932	3176126.747
933	3172252.39
934	3167692.624
935	3164160.399
936	3161422.742
937	3157105.824
938	3152095.215
939	3149187.776
940	3146537.989
941	3143845.903
942	3142568.946
943	3140939.369
944	3136876.535
945	3136205.833
946	3132660.604
947	3130236.361
948	3127544.052
949	3124244.745
950	3118231.509
951	3114381.064
952	3112311.25
953	3110159.148
954	3107389.593
955	3104718.894
956	3103404.395
957	3101156.657
958	3097290.992
959	3093837.414
960	3090634.3
961	3088323.478
962	3084842.896
963	3082171.759
964	3079387.32
965	3075108.612
966	3073864.136
967	3069105.019
968	3065137.189
969	3062022.294
970	3058850.72
971	3056375.73
972	3054119.4
973	3050668.671
974	3048347.849
975	3045829.278
976	3044595.626
977	3042338.18
978	3041755.055
979	3039084.415
980	3035797.729
981	3031083.189
982	3026991.002
983	3025009.563
984	3023628.671
985	3020928.008
986	3018103.104
987	3013775.391
988	3011400.018
989	3007957.225
990	3004579.825
991	3000661.502
992	2998113.591
993	2996006.814
994	2993852.441
995	2991224.965
996	2987581.019
997	2986494.438
998	2982709.965
999	2980921.796
